Bin,Sites Counts N2,Percentage N2,Sites Counts PRDE1,Percentage PRDE1
"[0,0]","24,476,280",91.225%,"24,438,899",91.315%
"(0,0.01]","   841,884",3.138%,"   797,880",2.981%
"(0.01,0.02]","   492,032",1.834%,"   466,480",1.743%
"(0.02,0.03]","   291,763",1.087%,"   290,414",1.085%
"(0.03,0.04]","   211,111",0.787%,"   216,446",0.809%
"(0.04,0.05]","   137,149",0.511%,"   144,915",0.541%
"(0.05,0.06]","    90,911",0.339%,"    96,819",0.362%
"(0.06,0.07]","    67,256",0.251%,"    71,917",0.269%
"(0.07,0.08]","    63,562",0.237%,"    69,296",0.259%
"(0.08,0.09]","    35,178",0.131%,"    38,704",0.145%
"(0.09,0.1]","    58,177",0.217%,"    65,087",0.243%
"(0.1,0.11]","     7,915",0.029%,"     7,889",0.029%
"(0.11,0.12]","    10,230",0.038%,"    10,367",0.039%
"(0.12,0.13]","     6,184",0.023%,"     6,295",0.024%
"(0.13,0.14]","     6,058",0.023%,"     6,128",0.023%
"(0.14,0.15]","     5,670",0.021%,"     5,985",0.022%
"(0.15,0.16]","     4,610",0.017%,"     4,786",0.018%
"(0.16,0.17]","     4,069",0.015%,"     4,179",0.016%
"(0.17,0.18]","     2,084",0.008%,"     2,130",0.008%
"(0.18,0.19]","     3,675",0.014%,"     3,707",0.014%
"(0.19,0.2]","     3,732",0.014%,"     4,040",0.015%
"(0.2,0.21]",       647,0.002%,       611,0.002%
"(0.21,0.22]","     1,367",0.005%,"     1,373",0.005%
"(0.22,0.23]",       756,0.003%,       743,0.003%
"(0.23,0.24]","     1,250",0.005%,"     1,187",0.004%
"(0.24,0.25]","     1,079",0.004%,"     1,098",0.004%
"(0.25,0.26]",       197,0.001%,       160,0.001%
"(0.26,0.27]",       496,0.002%,       532,0.002%
"(0.27,0.28]",       711,0.003%,       787,0.003%
"(0.28,0.29]",       370,0.001%,       335,0.001%
"(0.29,0.3]",       677,0.003%,       646,0.002%
"(0.3,0.31]",       240,0.001%,       269,0.001%
"(0.31,0.32]",       275,0.001%,       237,0.001%
"(0.32,0.33]",        64,0.000%,        59,0.000%
"(0.33,0.34]",       355,0.001%,       351,0.001%
"(0.34,0.35]",        70,0.000%,        94,0.000%
"(0.35,0.36]",       152,0.001%,       156,0.001%
"(0.36,0.37]",       218,0.001%,       211,0.001%
"(0.37,0.38]",        77,0.000%,        76,0.000%
"(0.38,0.39]",       112,0.000%,       134,0.001%
"(0.39,0.4]",       239,0.001%,       205,0.001%
"(0.4,0.41]",        27,0.000%,        11,0.000%
"(0.41,0.42]",        97,0.000%,        93,0.000%
"(0.42,0.43]",        70,0.000%,        65,0.000%
"(0.43,0.44]",        50,0.000%,        43,0.000%
"(0.44,0.45]",        26,0.000%,        36,0.000%
"(0.45,0.46]",        77,0.000%,        82,0.000%
"(0.46,0.47]",        55,0.000%,        57,0.000%
"(0.47,0.48]",        38,0.000%,        41,0.000%
"(0.48,0.49]",         5,0.000%,        13,0.000%
"(0.49,0.5]",         0,0.000%,         2,0.000%
"(0.5,0.51]",         2,0.000%,         3,0.000%
"(0.51,0.52]",        13,0.000%,         7,0.000%
"(0.52,0.53]",        17,0.000%,        16,0.000%
"(0.53,0.54]",        21,0.000%,        28,0.000%
"(0.54,0.55]",        41,0.000%,        47,0.000%
"(0.55,0.56]",        16,0.000%,        16,0.000%
"(0.56,0.57]",        12,0.000%,        18,0.000%
"(0.57,0.58]",        22,0.000%,        23,0.000%
"(0.58,0.59]",        39,0.000%,        19,0.000%
"(0.59,0.6]",        64,0.000%,        49,0.000%
"(0.6,0.61]",         5,0.000%,         3,0.000%
"(0.61,0.62]",        19,0.000%,        22,0.000%
"(0.62,0.63]",         5,0.000%,        18,0.000%
"(0.63,0.64]",        34,0.000%,        32,0.000%
"(0.64,0.65]",        19,0.000%,        15,0.000%
"(0.65,0.66]",         6,0.000%,         5,0.000%
"(0.66,0.67]",        27,0.000%,        42,0.000%
