Bin,Sites Counts N2,Percentage N2,Sites Counts PRDE1,Percentage PRDE1
"(0,0.05]","1,973,939",83.84%,"1,916,135",82.44%
"(0.05,0.1]","  315,084",13.38%,"  341,823",14.71%
"(0.1,0.15]","   36,057",1.53%,"   36,664",1.58%
"(0.15,0.2]","   18,170",0.77%,"   18,842",0.81%
"(0.2,0.25]","    5,099",0.22%,"    5,012",0.22%
"(0.25,0.3]","    2,451",0.10%,"    2,460",0.11%
"(0.3,0.35]","    1,004",0.04%,"    1,010",0.04%
"(0.35,0.4]",      798,0.03%,      782,0.03%
"(0.4,0.45]",      270,0.01%,      248,0.01%
"(0.45,0.5]",      175,0.01%,      195,0.01%
"(0.5,0.55]",       94,0.00%,      101,0.00%
"(0.55,0.6]",      153,0.01%,      125,0.01%
"(0.6,0.65]",       82,0.00%,       90,0.00%
"(0.65,0.7]",      106,0.00%,      116,0.00%
"(0.7,0.75]",      113,0.00%,       92,0.00%
"(0.75,0.8]",      112,0.00%,      106,0.00%
"(0.8,0.85]",      142,0.01%,       99,0.00%
"(0.85,0.9]",      144,0.01%,      105,0.00%
"(0.9,0.95]",      262,0.01%,      240,0.01%
"(0.95,1]",      134,0.01%,      138,0.01%
