GeneID,GeneSymbol,Gene_AltReads_N2,Gene_AltReads_PRDE1,Gene_TotalReads_N2,Gene_TotalReads_PRDE1,Rate_N2,Rate_PRDE1,Log2FC
WBGene00003238,mig-1,0,5,1715,2611,0,0.0019149751053236309,Inf
WBGene00004810,skr-4,0,15,1640,4940,0,0.003036437246963563,Inf
WBGene00004833,sls-2.1,0,4,1036,3233,0,0.0012372409526755336,Inf
WBGene00004924,snt-4,0,12,1015,4139,0,0.002899251026818072,Inf
WBGene00007771,C27C12.1,0,25,1525,12820,0,0.0019500780031201249,Inf
WBGene00008566,acox-1.3,0,36,1239,12821,0,0.002807893300054598,Inf
WBGene00009635,F42F12.3,0,4,1475,1962,0,0.0020387359836901123,Inf
WBGene00010115,aakb-1,0,21,2100,10801,0,0.0019442644199611147,Inf
WBGene00011094,R07B7.10,0,4,1131,1361,0,0.0029390154298310064,Inf
WBGene00011872,blos-1,0,14,3311,8320,0,0.0016826923076923078,Inf
WBGene00014457,MTCE.10,0,14,1340,2563,0,0.005462348809988295,Inf
WBGene00015088,B0252.3,0,12,1203,4063,0,0.002953482648289441,Inf
WBGene00015851,C16C8.13,0,6,1392,2711,0,0.0022132054592401327,Inf
WBGene00015852,C16C8.14,0,1,1392,1487,0,6.724949562878278e-4,Inf
WBGene00015949,C18A11.3,0,4,1816,2870,0,0.0013937282229965157,Inf
WBGene00016441,C35D10.3,0,16,1275,4526,0,0.003535130357931949,Inf
WBGene00016490,C36E6.2,0,6,1073,2350,0,0.002553191489361702,Inf
WBGene00018303,F41G3.10,0,2,2136,4270,0,4.68384074941452e-4,Inf
WBGene00019197,H14A12.5,0,2,1218,1828,0,0.0010940919037199124,Inf
WBGene00019476,timp-1,0,15,1208,8636,0,0.0017369152385363594,Inf
WBGene00019607,K10B2.4,0,6,4155,4073,0,0.0014731156395777069,Inf
WBGene00019781,M60.6,0,9,1945,4147,0,0.0021702435495538942,Inf
WBGene00019803,PDB1.1,0,2,1771,1895,0,0.0010554089709762533,Inf
WBGene00021543,Y43B11AR.1,0,13,1107,4343,0,0.0029933225880727607,Inf
WBGene00022447,hpo-20,0,15,2933,1829,0,0.008201202843083653,Inf
WBGene00023012,F22H10.t1,0,1,1591,2597,0,3.850596842510589e-4,Inf
WBGene00044469,clec-173,0,6,3935,3899,0,0.001538856116953065,Inf
WBGene00044948,K11H12.12,0,2,1125,3954,0,5.058168942842691e-4,Inf
WBGene00077519,T27C10.8,0,4,2097,3270,0,0.0012232415902140672,Inf
WBGene00166360,21ur-12575,0,3,1993,2107,0,0.0014238253440911248,Inf
WBGene00170698,21ur-13226,0,3,1954,1947,0,0.0015408320493066256,Inf
WBGene00174114,21ur-12756,0,1,2037,1827,0,5.473453749315818e-4,Inf
WBGene00198239,F22H10.9,0,1,1613,2655,0,3.766478342749529e-4,Inf
WBGene00219780,B0228.10,0,1,1480,1601,0,6.246096189881324e-4,Inf
WBGene00220075,T21B4.20,0,3,1518,3095,0,9.693053311793214e-4,Inf
WBGene00271744,K09F6.15,0,3,1306,1383,0,0.0021691973969631237,Inf
WBGene00014421,K03B8.10,1,18,2395,2730,4.175365344467641e-4,0.006593406593406593,3.98104970625864
