Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
N2.30min.HS.1	55123995.0	195.0	32468272.0	58.9	196.91	4292039.0	4193775.0	4194685.0	12882.0	969.0	83503.0	0.3	0.01	1.34	0.01	1.1	17961013.0	32.58	51790.0	0.09	0.0	7.28	1.15	0	4009544	633376
N2.30min.HS.1._STARpass1	55123995.0	195.0	36814841.0	66.79	195.33	2220181.0	2058654.0	2099378.0	13606.0	1028.0	106169.0	0.32	0.01	1.33	0.01	1.08	16346800.0	29.65	36564.0	0.07	0.0	3.45	0.04	0	1903718	22072
N2.30min.HS.2	81293661.0	196.0	47881218.0	58.9	197.69	6172446.0	6028258.0	6030085.0	17935.0	1485.0	122941.0	0.29	0.01	1.33	0.01	1.08	26995814.0	33.21	80231.0	0.1	0.0	6.0	1.79	0	4880409	1455989
N2.30min.HS.2._STARpass1	81293661.0	196.0	55025412.0	67.69	196.47	3097007.0	2861046.0	2919381.0	18650.0	1548.0	157428.0	0.31	0.01	1.32	0.01	1.07	24108946.0	29.66	42876.0	0.05	0.0	2.57	0.03	0	2092007	24420
N2.30min.HS.3	55764361.0	195.0	33494628.0	60.06	196.73	5004913.0	4905141.0	4906834.0	13664.0	976.0	83439.0	0.29	0.01	1.35	0.01	1.09	17203517.0	30.85	68480.0	0.12	0.0	8.06	0.9	0	4495731	502005
N2.30min.HS.3._STARpass1	55764361.0	195.0	37782596.0	67.75	195.13	2171609.0	2010389.0	2050306.0	13913.0	1026.0	106364.0	0.31	0.01	1.34	0.01	1.08	15679414.0	28.12	34941.0	0.06	0.0	4.03	0.04	0	2245126	22284
PRDE1.30min.HS.1	68726580.0	197.0	39050748.0	56.82	197.64	5038859.0	4914463.0	4918529.0	14085.0	1324.0	104921.0	0.31	0.01	1.35	0.01	1.1	22946831.0	33.39	89690.0	0.13	0.0	8.07	1.59	0	5546505	1092806
PRDE1.30min.HS.1._STARpass1	68726580.0	197.0	44896142.0	65.33	196.45	2344841.0	2141527.0	2193968.0	14777.0	1085.0	135011.0	0.33	0.01	1.33	0.01	1.08	20574318.0	29.94	50267.0	0.07	0.0	4.63	0.04	0	3178394	27459
PRDE1.30min.HS.2	70743709.0	196.0	40300610.0	56.97	197.54	5214491.0	5079897.0	5083484.0	15324.0	1420.0	114263.0	0.3	0.01	1.35	0.01	1.1	23724776.0	33.54	81060.0	0.11	0.0	7.45	1.93	0	5271600	1365663
PRDE1.30min.HS.2._STARpass1	70743709.0	196.0	46893939.0	66.29	196.3	2446965.0	2222465.0	2278659.0	16136.0	1230.0	150940.0	0.31	0.01	1.34	0.01	1.08	21221725.0	30.0	52349.0	0.07	0.0	3.61	0.03	0	2554468	21228
PRDE1.30min.HS.3	69714649.0	197.0	40752978.0	58.46	198.25	5541693.0	5403101.0	5409316.0	15405.0	1123.0	115849.0	0.31	0.01	1.35	0.01	1.11	23169072.0	33.23	119453.0	0.17	0.0	6.28	1.85	0	4382209	1290937
PRDE1.30min.HS.3._STARpass1	69714649.0	197.0	47371358.0	67.95	197.34	2545420.0	2318447.0	2375643.0	15919.0	1225.0	152633.0	0.33	0.01	1.35	0.01	1.09	19978391.0	28.66	46571.0	0.07	0.0	3.29	0.03	0	2297380	20949
