Sample	SnpEff_mqc-generalstats-snpeff-Change_rate	SnpEff_mqc-generalstats-snpeff-Ts_Tv_ratio	SnpEff_mqc-generalstats-snpeff-Number_of_variants_before_filter	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
N2.30min.HS.1	10057.0	1.927637	9971.0	58.9	32468272.0						
N2.30min.HS.1._STARpass1				66.79	36814841.0						
N2.30min.HS.1_R1						91.9271210724044	47.0	97.8337041790966	100	18.181818181818183	55123995.0
N2.30min.HS.1_R2						15.694670934214173	49.0	110.59141660541839	114	9.090909090909092	55123995.0
N2.30min.HS.2	8998.0	2.056067	11147.0	58.9	47881218.0						
N2.30min.HS.2._STARpass1				67.69	55025412.0						
N2.30min.HS.2_R1						93.55351490395476	47.0	98.27003303492508	100	27.27272727272727	81293661.0
N2.30min.HS.2_R2						19.919710244125767	49.0	111.27843709732792	114	9.090909090909092	81293661.0
N2.30min.HS.3	10030.0	1.977541	9999.0	60.06	33494628.0						
N2.30min.HS.3._STARpass1				67.75	37782596.0						
N2.30min.HS.3_R1						91.89253796942454	47.0	97.7482417847485	100	18.181818181818183	55764361.0
N2.30min.HS.3_R2						15.334024561112159	49.0	110.40008104818058	114	9.090909090909092	55764361.0
PRDE1.30min.HS.1	9631.0	2.07393	10414.0	56.82	39050748.0						
PRDE1.30min.HS.1._STARpass1				65.33	44896142.0						
PRDE1.30min.HS.1_R1						93.20309013871102	48.0	98.3449521567929	100	18.181818181818183	68726580.0
PRDE1.30min.HS.1_R2						17.03617695250084	49.0	111.32725501545399	114	9.090909090909092	68726580.0
PRDE1.30min.HS.2	9233.0	2.08475	10862.0	56.97	40300610.0						
PRDE1.30min.HS.2._STARpass1				66.29	46893939.0						
PRDE1.30min.HS.2_R1						93.10108032918905	47.0	98.28402695142829	100	18.181818181818183	70743709.0
PRDE1.30min.HS.2_R2						17.803592768185624	49.0	111.22369300710541	114	9.090909090909092	70743709.0
PRDE1.30min.HS.3	10356.0	1.925139	9683.0	58.46	40752978.0						
PRDE1.30min.HS.3._STARpass1				67.95	47371358.0						
PRDE1.30min.HS.3_R1						93.17536335193516	47.0	98.65017327993719	100	27.27272727272727	69714649.0
PRDE1.30min.HS.3_R2						18.176629282951794	49.0	111.86270340398616	114	9.090909090909092	69714649.0
