Module	Section	Sample Name	Source
SnpEff	all_sections	N2.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/N2.30min.HS.1.consensus_summary.csv
SnpEff	all_sections	N2.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/N2.30min.HS.2.consensus_summary.csv
SnpEff	all_sections	N2.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/N2.30min.HS.3.consensus_summary.csv
SnpEff	all_sections	PRDE1.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/PRDE1.30min.HS.1.consensus_summary.csv
SnpEff	all_sections	PRDE1.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/PRDE1.30min.HS.2.consensus_summary.csv
SnpEff	all_sections	PRDE1.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/Annotation/PRDE1.30min.HS.3.consensus_summary.csv
GATK	base_recalibrator	N2.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/N2.30min.HS.1.consensus.recal.table
GATK	base_recalibrator	N2.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/N2.30min.HS.2.consensus.recal.table
GATK	base_recalibrator	N2.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/N2.30min.HS.3.consensus.recal.table
GATK	base_recalibrator	PRDE1.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/PRDE1.30min.HS.1.consensus.recal.table
GATK	base_recalibrator	PRDE1.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/PRDE1.30min.HS.2.consensus.recal.table
GATK	base_recalibrator	PRDE1.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/HaplotypeCaller/PRDE1.30min.HS.3.consensus.recal.table
Picard	AlignmentSummaryMetrics	N2.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/N2.30min.HS.1.CONSENSUS_alignment_metrics.txt
Picard	AlignmentSummaryMetrics	N2.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/N2.30min.HS.2.CONSENSUS_alignment_metrics.txt
Picard	AlignmentSummaryMetrics	N2.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/N2.30min.HS.3.CONSENSUS_alignment_metrics.txt
Picard	AlignmentSummaryMetrics	PRDE1.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/PRDE1.30min.HS.1.CONSENSUS_alignment_metrics.txt
Picard	AlignmentSummaryMetrics	PRDE1.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/PRDE1.30min.HS.2.CONSENSUS_alignment_metrics.txt
Picard	AlignmentSummaryMetrics	PRDE1.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/Consensus_Analysis/PRDE1.30min.HS.3.CONSENSUS_alignment_metrics.txt
Snippy	snippy	multiqc	/vscratch/grp-vprahlad/umi_celegans_consensus/test.consensus_data/multiqc.log
STAR	SummaryLog	N2.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/N2.30min.HS.1.Log.final.out
STAR	SummaryLog	N2.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/N2.30min.HS.2.Log.final.out
STAR	SummaryLog	N2.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/N2.30min.HS.3.Log.final.out
STAR	SummaryLog	PRDE1.30min.HS.1	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/PRDE1.30min.HS.1.Log.final.out
STAR	SummaryLog	PRDE1.30min.HS.2	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/PRDE1.30min.HS.2.Log.final.out
STAR	SummaryLog	PRDE1.30min.HS.3	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/PRDE1.30min.HS.3.Log.final.out
STAR	SummaryLog	Log.final.out	/vscratch/grp-vprahlad/umi_celegans_consensus/STARNoClip/PRDE1.30min.HS.3._STARpass1/Log.final.out
FastQC	all_sections	N2.30min.HS.1_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.1_R1_fastqc.zip
FastQC	all_sections	N2.30min.HS.1_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.1_R2_fastqc.zip
FastQC	all_sections	N2.30min.HS.2_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.2_R1_fastqc.zip
FastQC	all_sections	N2.30min.HS.2_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.2_R2_fastqc.zip
FastQC	all_sections	N2.30min.HS.3_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.3_R1_fastqc.zip
FastQC	all_sections	N2.30min.HS.3_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/N2.30min.HS.3_R2_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.1_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.1_R1_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.1_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.1_R2_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.2_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.2_R1_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.2_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.2_R2_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.3_R1	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.3_R1_fastqc.zip
FastQC	all_sections	PRDE1.30min.HS.3_R2	/vscratch/grp-vprahlad/umi_celegans_consensus/fastqc/PRDE1.30min.HS.3_R2_fastqc.zip
