family_size	count	fraction	fraction_gt_or_eq_family_size
1	24524361	0.75959	1
2	5400148	0.167258	0.24041
3	1336034	0.041381	0.073152
4	451271	0.013977	0.031771
5	203684	0.006309	0.017794
6	106590	0.003301	0.011485
7	70936	0.002197	0.008184
8	43942	0.001361	0.005987
9	31135	0.000964	0.004626
10	22472	0.000696	0.003662
11	16931	0.000524	0.002966
12	12091	0.000374	0.002441
13	10270	0.000318	0.002067
14	7700	0.000238	0.001749
15	6294	0.000195	0.00151
16	5124	0.000159	0.001315
17	4269	0.000132	0.001156
18	3434	0.000106	0.001024
19	2954	0.000091	0.000918
20	2621	0.000081	0.000826
21	2133	0.000066	0.000745
22	1834	0.000057	0.000679
23	1641	0.000051	0.000622
24	1361	0.000042	0.000571
25	1210	0.000037	0.000529
26	1126	0.000035	0.000492
27	955	0.00003	0.000457
28	830	0.000026	0.000427
29	798	0.000025	0.000402
30	686	0.000021	0.000377
31	626	0.000019	0.000356
32	562	0.000017	0.000336
33	518	0.000016	0.000319
34	449	0.000014	0.000303
35	395	0.000012	0.000289
36	371	0.000011	0.000277
37	334	0.00001	0.000265
38	301	9.32283E-6	0.000255
39	311	9.63256E-6	0.000246
40	276	8.54851E-6	0.000236
41	241	7.46446E-6	0.000227
42	231	7.15473E-6	0.00022
43	244	7.55738E-6	0.000213
44	218	6.75209E-6	0.000205
45	175	5.42025E-6	0.000198
46	178	5.51317E-6	0.000193
47	193	5.97776E-6	0.000188
48	149	4.61496E-6	0.000182
49	151	4.6769E-6	0.000177
50	145	4.49107E-6	0.000172
51	130	4.02647E-6	0.000168
52	119	3.68577E-6	0.000164
53	130	4.02647E-6	0.00016
54	105	3.25215E-6	0.000156
55	85	2.63269E-6	0.000153
56	94	2.91145E-6	0.00015
57	98	3.03534E-6	0.000147
58	80	2.47783E-6	0.000144
59	72	2.23005E-6	0.000142
60	72	2.23005E-6	0.000139
61	74	2.29199E-6	0.000137
62	59	1.8274E-6	0.000135
63	81	2.5088E-6	0.000133
64	63	1.95129E-6	0.000131
65	65	2.01324E-6	0.000129
66	68	2.10616E-6	0.000127
67	60	1.85837E-6	0.000125
68	47	1.45572E-6	0.000123
69	48	1.4867E-6	0.000121
70	50	1.54864E-6	0.00012
71	45	1.39378E-6	0.000118
72	40	1.23891E-6	0.000117
73	43	1.33183E-6	0.000116
74	46	1.42475E-6	0.000114
75	40	1.23891E-6	0.000113
76	40	1.23891E-6	0.000112
77	46	1.42475E-6	0.00011
78	25	7.74322E-7	0.000109
79	38	1.17697E-6	0.000108
80	38	1.17697E-6	0.000107
