family_size	count	fraction	fraction_gt_or_eq_family_size
1	28484889	0.754403	1
2	6316795	0.167296	0.245597
3	1615033	0.042773	0.0783
4	566822	0.015012	0.035527
5	266046	0.007046	0.020515
6	139724	0.0037	0.013469
7	96951	0.002568	0.009769
8	59486	0.001575	0.007201
9	42911	0.001136	0.005626
10	31353	0.00083	0.004489
11	23826	0.000631	0.003659
12	16649	0.000441	0.003028
13	14570	0.000386	0.002587
14	11210	0.000297	0.002201
15	8782	0.000233	0.001904
16	7409	0.000196	0.001672
17	6393	0.000169	0.001475
18	4874	0.000129	0.001306
19	4338	0.000115	0.001177
20	3709	0.000098	0.001062
21	3222	0.000085	0.000964
22	2699	0.000071	0.000879
23	2413	0.000064	0.000807
24	2043	0.000054	0.000743
25	1765	0.000047	0.000689
26	1627	0.000043	0.000642
27	1395	0.000037	0.000599
28	1303	0.000035	0.000562
29	1108	0.000029	0.000528
30	972	0.000026	0.000498
31	926	0.000025	0.000473
32	875	0.000023	0.000448
33	792	0.000021	0.000425
34	689	0.000018	0.000404
35	626	0.000017	0.000386
36	596	0.000016	0.000369
37	535	0.000014	0.000353
38	514	0.000014	0.000339
39	472	0.000013	0.000326
40	464	0.000012	0.000313
41	399	0.000011	0.000301
42	354	9.37546E-6	0.00029
43	320	8.47499E-6	0.000281
44	341	9.03116E-6	0.000272
45	285	7.54804E-6	0.000263
46	262	6.9389E-6	0.000256
47	271	7.17726E-6	0.000249
48	241	6.38273E-6	0.000242
49	194	5.13796E-6	0.000235
50	198	5.2439E-6	0.00023
51	214	5.66765E-6	0.000225
52	175	4.63476E-6	0.000219
53	165	4.36992E-6	0.000215
54	166	4.3964E-6	0.00021
55	160	4.23749E-6	0.000206
56	136	3.60187E-6	0.000202
57	156	4.13156E-6	0.000198
58	126	3.33703E-6	0.000194
59	145	3.84023E-6	0.000191
60	146	3.86671E-6	0.000187
61	116	3.07218E-6	0.000183
62	117	3.09867E-6	0.00018
63	92	2.43656E-6	0.000177
64	95	2.51601E-6	0.000174
65	102	2.7014E-6	0.000172
66	89	2.35711E-6	0.000169
67	69	1.82742E-6	0.000167
68	72	1.90687E-6	0.000165
69	84	2.22468E-6	0.000163
70	72	1.90687E-6	0.000161
71	81	2.14523E-6	0.000159
72	69	1.82742E-6	0.000157
73	67	1.77445E-6	0.000155
74	87	2.30414E-6	0.000153
75	73	1.93336E-6	0.000151
76	64	1.695E-6	0.000149
77	68	1.80093E-6	0.000147
78	63	1.66851E-6	0.000145
79	64	1.695E-6	0.000144
80	64	1.695E-6	0.000142
81	67	1.77445E-6	0.00014
82	44	1.16531E-6	0.000139
83	53	1.40367E-6	0.000137
84	51	1.3507E-6	0.000136
85	56	1.48312E-6	0.000135
86	55	1.45664E-6	0.000133
87	44	1.16531E-6	0.000132
88	47	1.24476E-6	0.000131
89	35	9.26952E-7	0.000129
90	40	1.05937E-6	0.000128
91	42	1.11234E-6	0.000127
92	37	9.7992E-7	0.000126
93	44	1.16531E-6	0.000125
94	35	9.26952E-7	0.000124
95	32	8.47499E-7	0.000123
96	27	7.15077E-7	0.000122
97	36	9.53436E-7	0.000122
98	31	8.21014E-7	0.000121
99	38	1.0064E-6	0.00012
100	32	8.47499E-7	0.000119
101	37	9.7992E-7	0.000118
102	28	7.41561E-7	0.000117
103	29	7.68046E-7	0.000116
104	33	8.73983E-7	0.000115
105	29	7.68046E-7	0.000115
106	39	1.03289E-6	0.000114
107	27	7.15077E-7	0.000113
108	22	5.82655E-7	0.000112
109	19	5.03202E-7	0.000111
110	28	7.41561E-7	0.000111
111	25	6.62108E-7	0.00011
112	24	6.35624E-7	0.00011
113	25	6.62108E-7	0.000109
114	28	7.41561E-7	0.000108
115	24	6.35624E-7	0.000107
116	16	4.23749E-7	0.000107
117	24	6.35624E-7	0.000106
118	23	6.0914E-7	0.000106
119	17	4.50234E-7	0.000105
120	23	6.0914E-7	0.000105
121	32	8.47499E-7	0.000104
122	21	5.56171E-7	0.000103
123	22	5.82655E-7	0.000103
124	18	4.76718E-7	0.000102
125	21	5.56171E-7	0.000102
126	16	4.23749E-7	0.000101
127	15	3.97265E-7	0.000101
128	16	4.23749E-7	0.0001
129	17	4.50234E-7	0.0001
130	18	4.76718E-7	0.000099
131	17	4.50234E-7	0.000099
132	20	5.29687E-7	0.000098
133	12	3.17812E-7	0.000098
134	18	4.76718E-7	0.000098
135	16	4.23749E-7	0.000097
136	15	3.97265E-7	0.000097
137	17	4.50234E-7	0.000096
138	14	3.70781E-7	0.000096
139	19	5.03202E-7	0.000096
140	12	3.17812E-7	0.000095
141	13	3.44296E-7	0.000095
142	16	4.23749E-7	0.000094
143	9	2.38359E-7	0.000094
144	16	4.23749E-7	0.000094
145	17	4.50234E-7	0.000093
146	14	3.70781E-7	0.000093
147	16	4.23749E-7	0.000092
148	13	3.44296E-7	0.000092
149	9	2.38359E-7	0.000092
150	10	2.64843E-7	0.000091
151	10	2.64843E-7	0.000091
152	15	3.97265E-7	0.000091
153	12	3.17812E-7	0.000091
154	11	2.91328E-7	0.00009
155	14	3.70781E-7	0.00009
156	10	2.64843E-7	0.00009
157	12	3.17812E-7	0.000089
158	8	2.11875E-7	0.000089
159	9	2.38359E-7	0.000089
160	9	2.38359E-7	0.000089
161	7	1.8539E-7	0.000088
162	11	2.91328E-7	0.000088
163	13	3.44296E-7	0.000088
164	10	2.64843E-7	0.000087
165	14	3.70781E-7	0.000087
166	15	3.97265E-7	0.000087
167	6	1.58906E-7	0.000086
168	8	2.11875E-7	0.000086
169	10	2.64843E-7	0.000086
170	13	3.44296E-7	0.000086
171	9	2.38359E-7	0.000085
172	9	2.38359E-7	0.000085
173	6	1.58906E-7	0.000085
174	11	2.91328E-7	0.000085
175	10	2.64843E-7	0.000085
176	6	1.58906E-7	0.000084
177	15	3.97265E-7	0.000084
178	7	1.8539E-7	0.000084
179	10	2.64843E-7	0.000084
180	9	2.38359E-7	0.000083
181	10	2.64843E-7	0.000083
182	3	7.9453E-8	0.000083
183	6	1.58906E-7	0.000083
184	6	1.58906E-7	0.000082
185	10	2.64843E-7	0.000082
186	11	2.91328E-7	0.000082
187	7	1.8539E-7	0.000082
188	12	3.17812E-7	0.000082
189	6	1.58906E-7	0.000081
190	6	1.58906E-7	0.000081
191	10	2.64843E-7	0.000081
192	11	2.91328E-7	0.000081
193	5	1.32422E-7	0.00008
194	5	1.32422E-7	0.00008
195	6	1.58906E-7	0.00008
196	8	2.11875E-7	0.00008
197	6	1.58906E-7	0.00008
198	9	2.38359E-7	0.00008
199	11	2.91328E-7	0.000079
200	5	1.32422E-7	0.000079
201	7	1.8539E-7	0.000079
202	8	2.11875E-7	0.000079
203	10	2.64843E-7	0.000079
204	7	1.8539E-7	0.000078
205	7	1.8539E-7	0.000078
206	7	1.8539E-7	0.000078
207	7	1.8539E-7	0.000078
208	7	1.8539E-7	0.000078
209	6	1.58906E-7	0.000077
210	5	1.32422E-7	0.000077
211	7	1.8539E-7	0.000077
212	4	1.05937E-7	0.000077
213	8	2.11875E-7	0.000077
214	3	7.9453E-8	0.000077
215	5	1.32422E-7	0.000076
216	7	1.8539E-7	0.000076
217	7	1.8539E-7	0.000076
218	1	2.64843E-8	0.000076
219	5	1.32422E-7	0.000076
220	6	1.58906E-7	0.000076
221	6	1.58906E-7	0.000076
222	7	1.8539E-7	0.000076
223	4	1.05937E-7	0.000075
224	5	1.32422E-7	0.000075
225	6	1.58906E-7	0.000075
226	5	1.32422E-7	0.000075
227	5	1.32422E-7	0.000075
228	7	1.8539E-7	0.000075
229	9	2.38359E-7	0.000074
230	6	1.58906E-7	0.000074
