Sample,Replicate,Variant_Type,Total_Alt_Reads,Proportion
N2,1,Deletion,149,0.01714614499424626
N2,1,Insertion,6287,0.7234752589182969
N2,1,SNP,2254,0.25937859608745684
N2,2,Deletion,457,0.029084197798001653
N2,2,Insertion,11691,0.7440336027493158
N2,2,SNP,3565,0.22688219945268248
N2,3,Deletion,158,0.01480371029701115
N2,3,Insertion,7507,0.7033636278459665
N2,3,SNP,3008,0.2818326618570224
PRDE1,1,Deletion,163,0.013998625901751976
PRDE1,1,Insertion,7896,0.6781174854002061
PRDE1,1,SNP,3585,0.3078838886980419
PRDE1,2,Deletion,166,0.01483467381590706
PRDE1,2,Insertion,7904,0.7063449508489723
PRDE1,2,SNP,3120,0.27882037533512066
PRDE1,3,Deletion,164,0.01388771276145313
PRDE1,3,Insertion,8222,0.6962486239309001
PRDE1,3,SNP,3423,0.28986366330764674
