Sample,Replicate,Effect_Type,Total_Alt_Effect,Total_Replicate_Depth,Effect_Rate
N2,1,5_prime_UTR_premature_start_codon_gain_variant,789,49411,0.015968104268280343
N2,1,conservative_inframe_deletion,6,49411,1.2143045070935621e-4
N2,1,conservative_inframe_insertion,2,49411,4.047681690311874e-5
N2,1,disruptive_inframe_deletion,8,49411,1.6190726761247497e-4
N2,1,disruptive_inframe_insertion,2,49411,4.047681690311874e-5
N2,1,frameshift_variant,6373,49411,0.12897937706178786
N2,1,missense_variant,753,49411,0.015239521564024205
N2,1,splice_region_variant,54,49411,0.0010928740563842059
N2,1,stop_gained,18,49411,3.6429135212806866e-4
N2,1,stop_retained_variant,2,49411,4.047681690311874e-5
N2,1,synonymous_variant,704,49411,0.014247839549897796
N2,2,5_prime_UTR_premature_start_codon_gain_variant,1118,81132,0.013780012818616575
N2,2,conservative_inframe_deletion,2,81132,2.465118572203323e-5
N2,2,conservative_inframe_insertion,2,81132,2.465118572203323e-5
N2,2,disruptive_inframe_deletion,12,81132,1.4790711433219938e-4
N2,2,frameshift_variant,12079,81132,0.1488808361682197
N2,2,missense_variant,1683,81132,0.020743972785090964
N2,2,splice_region_variant,82,81132,0.0010106986146033623
N2,2,start_lost,2,81132,2.465118572203323e-5
N2,2,stop_gained,51,81132,6.286052359118473e-4
N2,2,synonymous_variant,781,81132,0.009626288024453976
N2,3,5_prime_UTR_premature_start_codon_gain_variant,839,56720,0.014791960507757405
N2,3,conservative_inframe_deletion,4,56720,7.052186177715091e-5
N2,3,conservative_inframe_insertion,2,56720,3.5260930888575456e-5
N2,3,disruptive_inframe_deletion,6,56720,1.0578279266572638e-4
N2,3,disruptive_inframe_insertion,2,56720,3.5260930888575456e-5
N2,3,frameshift_variant,7589,56720,0.13379760225669957
N2,3,initiator_codon_variant,2,56720,3.5260930888575456e-5
N2,3,missense_variant,924,56720,0.01629055007052186
N2,3,splice_region_variant,82,56720,0.0014456981664315938
N2,3,start_lost,4,56720,7.052186177715091e-5
N2,3,stop_gained,38,56720,6.699576868829337e-4
N2,3,stop_lost,4,56720,7.052186177715091e-5
N2,3,synonymous_variant,1221,56720,0.021526798307475316
PRDE1,1,5_prime_UTR_premature_start_codon_gain_variant,704,58484,0.012037480336502291
PRDE1,1,conservative_inframe_deletion,6,58484,1.0259216195882635e-4
PRDE1,1,disruptive_inframe_deletion,4,58484,6.839477463921757e-5
PRDE1,1,frameshift_variant,7998,58484,0.1367553518911155
PRDE1,1,missense_variant,1479,58484,0.025288967922850694
PRDE1,1,splice_region_variant,71,58484,0.0012140072498461117
PRDE1,1,start_lost,10,58484,1.7098693659804392e-4
PRDE1,1,stop_gained,44,58484,7.523425210313932e-4
PRDE1,1,stop_lost,9,58484,1.538882429382395e-4
PRDE1,1,synonymous_variant,1389,58484,0.023750085493468298
PRDE1,2,5_prime_UTR_premature_start_codon_gain_variant,745,57681,0.012915864842842531
PRDE1,2,conservative_inframe_deletion,2,57681,3.467346266534908e-5
PRDE1,2,conservative_inframe_insertion,2,57681,3.467346266534908e-5
PRDE1,2,disruptive_inframe_deletion,4,57681,6.934692533069816e-5
PRDE1,2,disruptive_inframe_insertion,6,57681,1.0402038799604722e-4
PRDE1,2,frameshift_variant,8045,57681,0.13947400357136666
PRDE1,2,missense_variant,883,57681,0.015308333766751617
PRDE1,2,splice_region_variant,28,57681,4.8542847731488704e-4
PRDE1,2,stop_gained,41,57681,7.108059846396561e-4
PRDE1,2,synonymous_variant,1462,57681,0.025346301208370173
PRDE1,3,5_prime_UTR_premature_start_codon_gain_variant,899,59655,0.015069985751403905
PRDE1,3,conservative_inframe_deletion,10,59655,1.676305422848043e-4
PRDE1,3,conservative_inframe_insertion,2,59655,3.352610845696086e-5
PRDE1,3,disruptive_inframe_deletion,2,59655,3.352610845696086e-5
PRDE1,3,disruptive_inframe_insertion,9,59655,1.5086748805632387e-4
PRDE1,3,frameshift_variant,8298,59655,0.1390998239879306
PRDE1,3,missense_variant,1172,59655,0.019646299555779064
PRDE1,3,splice_region_variant,70,59655,0.00117341379599363
PRDE1,3,stop_gained,35,59655,5.86706897996815e-4
PRDE1,3,synonymous_variant,1373,59655,0.023015673455703628
