Sample,Replicate,Functional_Class,Total_Alt_Class,Total_Replicate_Depth,Class_Rate
N2,1,MISSENSE,753,49411,0.015239521564024205
N2,1,NONSENSE,18,49411,3.6429135212806866e-4
N2,1,OTHER,7236,49411,0.1464451235554836
N2,1,SILENT,704,49411,0.014247839549897796
N2,2,MISSENSE,1683,81132,0.020743972785090964
N2,2,NONSENSE,51,81132,6.286052359118473e-4
N2,2,OTHER,13297,81132,0.16389340827293794
N2,2,SILENT,781,81132,0.009626288024453976
N2,3,MISSENSE,924,56720,0.01629055007052186
N2,3,NONSENSE,38,56720,6.699576868829337e-4
N2,3,OTHER,8534,56720,0.15045839210155149
N2,3,SILENT,1221,56720,0.021526798307475316
PRDE1,1,MISSENSE,1479,58484,0.025288967922850694
PRDE1,1,NONSENSE,44,58484,7.523425210313932e-4
PRDE1,1,OTHER,8802,58484,0.15050270159359824
PRDE1,1,SILENT,1389,58484,0.023750085493468298
PRDE1,2,MISSENSE,883,57681,0.015308333766751617
PRDE1,2,NONSENSE,41,57681,7.108059846396561e-4
PRDE1,2,OTHER,8832,57681,0.1531180111301815
PRDE1,2,SILENT,1462,57681,0.025346301208370173
PRDE1,3,MISSENSE,1172,59655,0.019646299555779064
PRDE1,3,NONSENSE,35,59655,5.86706897996815e-4
PRDE1,3,OTHER,9290,59655,0.15572877378258318
PRDE1,3,SILENT,1373,59655,0.023015673455703628
