Intron_Status,Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
Genes with Introns,N2,1,8276,38839,0.1756553114719304
Genes with Introns,N2,2,13607,61441,0.18131062786483318
Genes with Introns,N2,3,10159,43411,0.18963972372596602
Genes with Introns,PRDE1,1,9928,43526,0.1857297863583642
Genes with Introns,PRDE1,2,9822,43893,0.18285395141022062
Genes with Introns,PRDE1,3,10579,45093,0.19002371030320447
Genes without Introns,N2,1,68,217,0.23859649122807017
Genes without Introns,N2,2,97,430,0.1840607210626186
Genes without Introns,N2,3,111,380,0.22606924643584522
Genes without Introns,PRDE1,1,1197,1055,0.5315275310834814
Genes without Introns,PRDE1,2,809,382,0.6792611251049538
Genes without Introns,PRDE1,3,730,539,0.5752561071710008
