Quantile,Sample,Replicate,Total_Alt,Total_Ref,Total_Value,Proportion_Alt
Gene Length Q1: 30-1214bp,N2,1,1043,3429,4472,0.23322898032200357
Gene Length Q1: 30-1214bp,N2,2,1664,5469,7133,0.2332819290621057
Gene Length Q1: 30-1214bp,N2,3,1348,4138,5486,0.24571636893911775
Gene Length Q1: 30-1214bp,PRDE1,1,1962,5102,7064,0.2777463193657984
Gene Length Q1: 30-1214bp,PRDE1,2,1915,3950,5865,0.32651321398124467
Gene Length Q1: 30-1214bp,PRDE1,3,2075,5017,7092,0.29258319232938523
Gene Length Q2: 1215-2026bp,N2,1,1114,4599,5713,0.19499387362156484
Gene Length Q2: 1215-2026bp,N2,2,2108,8511,10619,0.19851210095112534
Gene Length Q2: 1215-2026bp,N2,3,1390,6068,7458,0.18637704478412442
Gene Length Q2: 1215-2026bp,PRDE1,1,1797,5790,7587,0.2368525108738632
Gene Length Q2: 1215-2026bp,PRDE1,2,1591,6853,8444,0.18841781146376124
Gene Length Q2: 1215-2026bp,PRDE1,3,1449,6340,7789,0.18603158300166903
Gene Length Q3: 2027-3633bp,N2,1,1780,9074,10854,0.16399484061175604
Gene Length Q3: 2027-3633bp,N2,2,2957,14243,17200,0.1719186046511628
Gene Length Q3: 2027-3633bp,N2,3,2637,10339,12976,0.2032213316892725
Gene Length Q3: 2027-3633bp,PRDE1,1,2316,10775,13091,0.1769154380872355
Gene Length Q3: 2027-3633bp,PRDE1,2,2051,9590,11641,0.1761876127480457
Gene Length Q3: 2027-3633bp,PRDE1,3,2443,10612,13055,0.1871313672922252
Gene Length Q4: 3634-102756bp,N2,1,4407,21954,26361,0.16717878684420165
Gene Length Q4: 3634-102756bp,N2,2,6975,33648,40623,0.17170076065283213
Gene Length Q4: 3634-102756bp,N2,3,4895,23246,28141,0.17394548878860025
Gene Length Q4: 3634-102756bp,PRDE1,1,5050,22914,27964,0.18058932913746245
Gene Length Q4: 3634-102756bp,PRDE1,2,5074,23882,28956,0.1752313855504904
Gene Length Q4: 3634-102756bp,PRDE1,3,5342,23663,29005,0.18417514221685916
