Quantile,Sample,Replicate,Variant_Type,Total_Alt_Reads,Proportion
Gene Length Q1: 30-1214bp,N2,1,Deletion,6,0.005752636625119847
Gene Length Q1: 30-1214bp,N2,1,Insertion,518,0.49664429530201343
Gene Length Q1: 30-1214bp,N2,1,SNP,519,0.49760306807286675
Gene Length Q1: 30-1214bp,N2,2,Deletion,12,0.00718562874251497
Gene Length Q1: 30-1214bp,N2,2,Insertion,920,0.5508982035928144
Gene Length Q1: 30-1214bp,N2,2,SNP,738,0.4419161676646707
Gene Length Q1: 30-1214bp,N2,3,Deletion,10,0.007352941176470588
Gene Length Q1: 30-1214bp,N2,3,Insertion,693,0.5095588235294117
Gene Length Q1: 30-1214bp,N2,3,SNP,657,0.48308823529411765
Gene Length Q1: 30-1214bp,PRDE1,1,Deletion,10,0.0050968399592252805
Gene Length Q1: 30-1214bp,PRDE1,1,Insertion,785,0.4001019367991845
Gene Length Q1: 30-1214bp,PRDE1,1,SNP,1167,0.5948012232415902
Gene Length Q1: 30-1214bp,PRDE1,2,Deletion,15,0.007784120394395433
Gene Length Q1: 30-1214bp,PRDE1,2,Insertion,652,0.33834976647638815
Gene Length Q1: 30-1214bp,PRDE1,2,SNP,1260,0.6538661131292164
Gene Length Q1: 30-1214bp,PRDE1,3,Deletion,16,0.007673860911270983
Gene Length Q1: 30-1214bp,PRDE1,3,Insertion,838,0.40191846522781777
Gene Length Q1: 30-1214bp,PRDE1,3,SNP,1231,0.5904076738609113
Gene Length Q2: 1215-2026bp,N2,1,Deletion,11,0.009874326750448833
Gene Length Q2: 1215-2026bp,N2,1,Insertion,771,0.6921005385996409
Gene Length Q2: 1215-2026bp,N2,1,SNP,332,0.2980251346499102
Gene Length Q2: 1215-2026bp,N2,2,Deletion,14,0.00658513640639699
Gene Length Q2: 1215-2026bp,N2,2,Insertion,1503,0.706961429915334
Gene Length Q2: 1215-2026bp,N2,2,SNP,609,0.28645343367826903
Gene Length Q2: 1215-2026bp,N2,3,Deletion,10,0.007132667617689016
Gene Length Q2: 1215-2026bp,N2,3,Insertion,989,0.7054208273894437
Gene Length Q2: 1215-2026bp,N2,3,SNP,403,0.28744650499286734
Gene Length Q2: 1215-2026bp,PRDE1,1,Deletion,18,0.009900990099009901
Gene Length Q2: 1215-2026bp,PRDE1,1,Insertion,1040,0.5720572057205721
Gene Length Q2: 1215-2026bp,PRDE1,1,SNP,760,0.41804180418041803
Gene Length Q2: 1215-2026bp,PRDE1,2,Deletion,26,0.016260162601626018
Gene Length Q2: 1215-2026bp,PRDE1,2,Insertion,1179,0.7373358348968105
Gene Length Q2: 1215-2026bp,PRDE1,2,SNP,394,0.24640400250156347
Gene Length Q2: 1215-2026bp,PRDE1,3,Deletion,15,0.010238907849829351
Gene Length Q2: 1215-2026bp,PRDE1,3,Insertion,1077,0.7351535836177474
Gene Length Q2: 1215-2026bp,PRDE1,3,SNP,373,0.2546075085324232
Gene Length Q3: 2027-3633bp,N2,1,Deletion,26,0.014565826330532213
Gene Length Q3: 2027-3633bp,N2,1,Insertion,1454,0.8145658263305322
Gene Length Q3: 2027-3633bp,N2,1,SNP,305,0.17086834733893558
Gene Length Q3: 2027-3633bp,N2,2,Deletion,18,0.006066734074823054
Gene Length Q3: 2027-3633bp,N2,2,Insertion,2402,0.809571958206943
Gene Length Q3: 2027-3633bp,N2,2,SNP,547,0.18436130771823392
Gene Length Q3: 2027-3633bp,N2,3,Deletion,40,0.015082956259426848
Gene Length Q3: 2027-3633bp,N2,3,Insertion,1674,0.6312217194570136
Gene Length Q3: 2027-3633bp,N2,3,SNP,938,0.3536953242835596
Gene Length Q3: 2027-3633bp,PRDE1,1,Deletion,43,0.01847872797593468
Gene Length Q3: 2027-3633bp,PRDE1,1,Insertion,1835,0.7885689729265148
Gene Length Q3: 2027-3633bp,PRDE1,1,SNP,449,0.1929522990975505
Gene Length Q3: 2027-3633bp,PRDE1,2,Deletion,29,0.014139444173573866
Gene Length Q3: 2027-3633bp,PRDE1,2,Insertion,1609,0.7844953681131156
Gene Length Q3: 2027-3633bp,PRDE1,2,SNP,413,0.20136518771331058
Gene Length Q3: 2027-3633bp,PRDE1,3,Deletion,29,0.011870650839132215
Gene Length Q3: 2027-3633bp,PRDE1,3,Insertion,1806,0.7392550143266475
Gene Length Q3: 2027-3633bp,PRDE1,3,SNP,608,0.24887433483422022
Gene Length Q4: 3634-102756bp,N2,1,Deletion,87,0.0196699073027357
Gene Length Q4: 3634-102756bp,N2,1,Insertion,3284,0.7424824779561384
Gene Length Q4: 3634-102756bp,N2,1,SNP,1052,0.23784761474112592
Gene Length Q4: 3634-102756bp,N2,2,Deletion,73,0.010387023335230507
Gene Length Q4: 3634-102756bp,N2,2,Insertion,5971,0.849601593625498
Gene Length Q4: 3634-102756bp,N2,2,SNP,984,0.1400113830392715
Gene Length Q4: 3634-102756bp,N2,3,Deletion,78,0.015918367346938776
Gene Length Q4: 3634-102756bp,N2,3,Insertion,3821,0.779795918367347
Gene Length Q4: 3634-102756bp,N2,3,SNP,1001,0.2042857142857143
Gene Length Q4: 3634-102756bp,PRDE1,1,Deletion,82,0.01611635220125786
Gene Length Q4: 3634-102756bp,PRDE1,1,Insertion,3915,0.7694575471698113
Gene Length Q4: 3634-102756bp,PRDE1,1,SNP,1091,0.2144261006289308
Gene Length Q4: 3634-102756bp,PRDE1,2,Deletion,90,0.017737485218762318
Gene Length Q4: 3634-102756bp,PRDE1,2,Insertion,4053,0.7987780843515964
Gene Length Q4: 3634-102756bp,PRDE1,2,SNP,931,0.1834844304296413
Gene Length Q4: 3634-102756bp,PRDE1,3,Deletion,90,0.01675665611617948
Gene Length Q4: 3634-102756bp,PRDE1,3,Insertion,4153,0.7732265872277043
Gene Length Q4: 3634-102756bp,PRDE1,3,SNP,1128,0.2100167566561162
