Analysis,Sample,Replicate_1,Replicate_2,Replicate_3
Gene Length Q1: 30-1214bp,N2,112,142,132
Gene Length Q1: 30-1214bp,PRDE1,143,129,131
Gene Length Q2: 1215-2026bp,N2,147,232,193
Gene Length Q2: 1215-2026bp,PRDE1,211,213,196
Gene Length Q3: 2027-3633bp,N2,276,358,334
Gene Length Q3: 2027-3633bp,PRDE1,349,323,323
Gene Length Q4: 3634-102756bp,N2,718,882,764
Gene Length Q4: 3634-102756bp,PRDE1,805,806,819
Genes with Introns,N2,1242,1595,1406
Genes with Introns,PRDE1,1491,1452,1455
Genes without Introns,N2,11,19,17
Genes without Introns,PRDE1,17,19,14
Total Filtered Variants,N2,1318,1700,1487
Total Filtered Variants,PRDE1,1580,1546,1544
