Intron_Status,Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
Genes with Introns,N2,1,537,2222,0.1946357375860819
Genes with Introns,N2,2,844,3546,0.19225512528473804
Genes with Introns,N2,3,602,2342,0.20448369565217392
Genes with Introns,PRDE1,1,906,4063,0.1823304487824512
Genes with Introns,PRDE1,2,952,3990,0.19263456090651557
Genes with Introns,PRDE1,3,978,4177,0.18971871968962173
Genes without Introns,N2,1,44,143,0.23529411764705882
Genes without Introns,N2,2,48,261,0.1553398058252427
Genes without Introns,N2,3,47,151,0.23737373737373738
Genes without Introns,PRDE1,1,1159,912,0.5596330275229358
Genes without Introns,PRDE1,2,775,248,0.7575757575757576
Genes without Introns,PRDE1,3,707,487,0.5921273031825796
