Intron_Status,Sample,Replicate,Total_Alt,Total_Ref,Error_Rate
Genes with Introns,N2,1,517,2175,0.19205052005943538
Genes with Introns,N2,2,1077,3992,0.2124679423949497
Genes with Introns,N2,3,610,2443,0.19980347199475926
Genes with Introns,PRDE1,1,1036,4136,0.2003093580819799
Genes with Introns,PRDE1,2,943,4062,0.18841158841158842
Genes with Introns,PRDE1,3,1050,4831,0.17854106444482232
Genes without Introns,N2,1,34,126,0.2125
Genes without Introns,N2,2,37,155,0.19270833333333334
Genes without Introns,N2,3,52,196,0.20967741935483872
Genes without Introns,PRDE1,1,1149,933,0.5518731988472623
Genes without Introns,PRDE1,2,750,134,0.8484162895927602
Genes without Introns,PRDE1,3,689,467,0.5960207612456747
