Sample,Replicate,Effect_Type,Total_Alt_Effect,Total_Replicate_Depth,Effect_Rate
N2,1,5_prime_UTR_premature_start_codon_gain_variant,789,49369,0.01598168891409589
N2,1,conservative_inframe_deletion,6,49369,1.215337560007292e-4
N2,1,conservative_inframe_insertion,2,49369,4.0511252000243066e-5
N2,1,disruptive_inframe_deletion,8,49369,1.6204500800097226e-4
N2,1,disruptive_inframe_insertion,2,49369,4.0511252000243066e-5
N2,1,frameshift_variant,6364,49369,0.12890680386477343
N2,1,missense_variant,746,49369,0.015110696996090665
N2,1,splice_region_variant,54,49369,0.001093803804006563
N2,1,stop_gained,18,49369,3.646012680021876e-4
N2,1,stop_retained_variant,2,49369,4.0511252000243066e-5
N2,1,synonymous_variant,699,49369,0.014158682574084952
N2,2,5_prime_UTR_premature_start_codon_gain_variant,1094,80934,0.013517186843600959
N2,2,conservative_inframe_deletion,2,80934,2.4711493315541057e-5
N2,2,conservative_inframe_insertion,2,80934,2.4711493315541057e-5
N2,2,disruptive_inframe_deletion,12,80934,1.4826895989324636e-4
N2,2,frameshift_variant,12054,80934,0.14893617021276595
N2,2,missense_variant,1643,80934,0.02030049175871698
N2,2,splice_region_variant,82,80934,0.0010131712259371835
N2,2,start_lost,2,80934,2.4711493315541057e-5
N2,2,stop_gained,51,80934,6.30143079546297e-4
N2,2,synonymous_variant,771,80934,0.009526280673141077
N2,3,5_prime_UTR_premature_start_codon_gain_variant,820,56632,0.014479446249470264
N2,3,conservative_inframe_deletion,4,56632,7.063144511936714e-5
N2,3,conservative_inframe_insertion,2,56632,3.531572255968357e-5
N2,3,disruptive_inframe_deletion,6,56632,1.0594716767905072e-4
N2,3,disruptive_inframe_insertion,2,56632,3.531572255968357e-5
N2,3,frameshift_variant,7584,56632,0.1339172199463201
N2,3,initiator_codon_variant,2,56632,3.531572255968357e-5
N2,3,missense_variant,919,56632,0.0162275745161746
N2,3,splice_region_variant,82,56632,0.0014479446249470265
N2,3,start_lost,4,56632,7.063144511936714e-5
N2,3,stop_gained,38,56632,6.709987286339879e-4
N2,3,stop_lost,4,56632,7.063144511936714e-5
N2,3,synonymous_variant,1206,56632,0.021295380703489193
PRDE1,1,5_prime_UTR_premature_start_codon_gain_variant,677,58344,0.011603592485945427
PRDE1,1,conservative_inframe_deletion,6,58344,1.0283833813245579e-4
PRDE1,1,disruptive_inframe_deletion,4,58344,6.855889208830385e-5
PRDE1,1,frameshift_variant,7978,58344,0.13674071027012202
PRDE1,1,missense_variant,1479,58344,0.025349650349650348
PRDE1,1,splice_region_variant,71,58344,0.0012169203345673933
PRDE1,1,start_lost,10,58344,1.7139723022075964e-4
PRDE1,1,stop_gained,44,58344,7.541478129713424e-4
PRDE1,1,stop_lost,4,58344,6.855889208830385e-5
PRDE1,1,synonymous_variant,1371,58344,0.023498560263266147
PRDE1,2,5_prime_UTR_premature_start_codon_gain_variant,737,57625,0.012789587852494576
PRDE1,2,conservative_inframe_deletion,2,57625,3.470715835140998e-5
PRDE1,2,conservative_inframe_insertion,2,57625,3.470715835140998e-5
PRDE1,2,disruptive_inframe_deletion,4,57625,6.941431670281996e-5
PRDE1,2,disruptive_inframe_insertion,6,57625,1.0412147505422994e-4
PRDE1,2,frameshift_variant,8045,57625,0.13960954446854665
PRDE1,2,missense_variant,883,57625,0.015323210412147506
PRDE1,2,splice_region_variant,28,57625,4.859002169197397e-4
PRDE1,2,stop_gained,41,57625,7.114967462039046e-4
PRDE1,2,synonymous_variant,1442,57625,0.025023861171366596
PRDE1,3,5_prime_UTR_premature_start_codon_gain_variant,878,59533,0.014748122889825811
PRDE1,3,conservative_inframe_deletion,10,59533,1.679740648043942e-4
PRDE1,3,conservative_inframe_insertion,2,59533,3.359481296087884e-5
PRDE1,3,disruptive_inframe_deletion,2,59533,3.359481296087884e-5
PRDE1,3,disruptive_inframe_insertion,9,59533,1.5117665832395477e-4
PRDE1,3,frameshift_variant,8298,59533,0.13938487897468632
PRDE1,3,missense_variant,1150,59533,0.019317017452505334
PRDE1,3,splice_region_variant,65,59533,0.0010918314212285624
PRDE1,3,stop_gained,35,59533,5.879092268153797e-4
PRDE1,3,synonymous_variant,1360,59533,0.02284447281339761
